team_name,abbr,logo_url
Arizona Cardinals,ARI,https://static.www.nfl.com/league/api/clubs/logos/ARI.svg
Atlanta Falcons,ATL,https://static.www.nfl.com/league/api/clubs/logos/ATL.svg
Baltimore Ravens,BAL,https://static.www.nfl.com/league/api/clubs/logos/BAL.svg
Buffalo Bills,BUF,https://static.www.nfl.com/league/api/clubs/logos/BUF.svg
Carolina Panthers,CAR,https://static.www.nfl.com/league/api/clubs/logos/CAR.svg
Chicago Bears,CHI,https://static.www.nfl.com/league/api/clubs/logos/CHI.svg
Cincinnati Bengals,CIN,https://static.www.nfl.com/league/api/clubs/logos/CIN.svg
Cleveland Browns,CLE,https://static.www.nfl.com/league/api/clubs/logos/CLE.svg
Dallas Cowboys,DAL,https://static.www.nfl.com/league/api/clubs/logos/DAL.svg
Denver Broncos,DEN,https://static.www.nfl.com/league/api/clubs/logos/DEN.svg
Detroit Lions,DET,https://static.www.nfl.com/league/api/clubs/logos/DET.svg
Green Bay Packers,GB,https://static.www.nfl.com/league/api/clubs/logos/GB.svg
Houston Texans,HOU,https://static.www.nfl.com/league/api/clubs/logos/HOU.svg
Indianapolis Colts,IND,https://static.www.nfl.com/league/api/clubs/logos/IND.svg
Jacksonville Jaguars,JAX,https://static.www.nfl.com/league/api/clubs/logos/JAX.svg
Kansas City Chiefs,KC,https://static.www.nfl.com/league/api/clubs/logos/KC.svg
Las Vegas Raiders,LV,https://static.www.nfl.com/league/api/clubs/logos/LV.svg
Los Angeles Chargers,LAC,https://static.www.nfl.com/league/api/clubs/logos/LAC.svg
Los Angeles Rams,LAR,https://static.www.nfl.com/league/api/clubs/logos/LAR.svg
Miami Dolphins,MIA,https://static.www.nfl.com/league/api/clubs/logos/MIA.svg
Minnesota Vikings,MIN,https://static.www.nfl.com/league/api/clubs/logos/MIN.svg
New England Patriots,NE,https://static.www.nfl.com/league/api/clubs/logos/NE.svg
New Orleans Saints,NO,https://static.www.nfl.com/league/api/clubs/logos/NO.svg
New York Giants,NYG,https://static.www.nfl.com/league/api/clubs/logos/NYG.svg
New York Jets,NYJ,https://static.www.nfl.com/league/api/clubs/logos/NYJ.svg
Philadelphia Eagles,PHI,https://static.www.nfl.com/league/api/clubs/logos/PHI.svg
Pittsburgh Steelers,PIT,https://static.www.nfl.com/league/api/clubs/logos/PIT.svg
San Francisco 49ers,SF,https://static.www.nfl.com/league/api/clubs/logos/SF.svg
Seattle Seahawks,SEA,https://static.www.nfl.com/league/api/clubs/logos/SEA.svg
Tampa Bay Buccaneers,TB,https://static.www.nfl.com/league/api/clubs/logos/TB.svg
Tennessee Titans,TEN,https://static.www.nfl.com/league/api/clubs/logos/TEN.svg
Washington Commanders,WAS,https://static.www.nfl.com/league/api/clubs/logos/WAS.svg
